AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins
11,1,0,0.0,2,143.4,130,49.0,14.47,9.7
116,1,0,0.0,0,129.4,84,36.0,7.87,13.3
41,1,1,1.94,0,213.8,102,68.4,7.09,7.2
137,1,0,0.0,1,109.8,120,39.0,11.53,11.9
114,1,1,3.48,1,125.2,79,71.8,8.89,12.9
140,1,0,0.0,3,149.7,71,44.0,10.63,12.6
50,0,1,2.16,0,307.1,94,98.6,14.47,8.0
148,1,0,0.0,2,279.3,104,65.0,10.08,7.9
123,1,0,0.26,2,257.9,92,64.6,10.58,9.4
134,1,0,0.0,1,242.4,126,55.0,7.65,11.8
100,1,0,0.21,2,235.8,130,58.1,8.8,7.3
79,1,0,0.0,1,41.9,124,26.0,10.55,11.4
1,1,0,0.0,5,182.1,106,43.0,6.75,10.0
88,1,0,0.31,1,153.5,94,51.1,12.59,8.5
104,1,0,0.0,0,97.2,88,30.0,7.78,12.4
70,1,0,0.31,0,177.4,125,53.1,11.31,10.9
117,1,1,2.62,1,207.6,65,75.2,7.64,9.7
134,1,0,0.31,1,178.0,110,47.1,7.69,11.7
77,0,1,3.21,0,103.2,117,70.1,11.82,11.9
174,1,0,0.29,1,239.2,72,59.9,9.43,8.8
162,1,1,3.27,0,224.9,97,87.7,9.41,12.1
113,1,0,0.0,1,193.8,99,52.0,11.07,10.6
98,0,0,0.0,1,158.4,71,53.0,15.33,2.1
52,1,0,0.0,1,215.9,67,56.0,10.85,5.2
120,1,1,3.08,0,153.5,83,75.8,10.96,11.4
154,0,0,0.36,0,145.9,69,46.6,10.41,14.4
67,1,0,0.35,1,215.5,102,56.5,9.54,8.6
155,1,1,1.38,1,183.3,106,62.8,10.26,5.1
163,1,1,3.32,2,231.9,56,91.2,10.59,12.3
109,1,0,0.36,2,193.6,58,49.6,7.44,13.1
82,1,0,0.0,3,266.9,83,65.0,11.49,11.0
176,1,0,0.34,0,169.5,151,42.4,5.65,8.7
69,1,0,0.0,3,228.2,70,62.0,13.19,10.7
60,1,0,0.0,2,289.8,101,71.0,12.78,11.7
63,1,0,0.0,1,207.6,96,55.0,11.45,13.3
133,1,0,0.0,2,216.2,67,56.0,11.11,3.1
92,0,0,0.0,3,252.3,120,61.0,10.35,12.0
147,1,0,0.0,1,205.3,95,50.0,8.34,7.8
156,1,0,0.42,1,150.5,106,43.2,7.65,3.5
75,1,1,3.62,2,118.5,86,75.2,10.7,13.4
193,1,0,0.0,1,170.9,124,41.0,6.62,11.6
72,1,0,0.27,0,272.4,88,58.7,5.4,12.7
77,1,0,0.0,1,169.4,102,45.0,9.25,2.0
62,1,0,0.0,0,147.1,91,42.0,9.52,12.2
82,1,0,0.0,3,207.0,90,55.0,11.65,9.1
144,0,0,0.0,0,203.5,100,56.0,12.38,11.9
57,1,0,0.0,2,272.7,74,66.0,11.25,10.5
132,1,0,0.0,0,214.6,78,58.0,12.59,13.9
117,1,0,0.19,1,184.5,97,63.9,17.58,8.7
115,1,0,0.0,1,166.5,111,49.0,11.81,15.6
121,1,0,0.0,1,177.2,142,41.0,6.18,8.4
86,1,1,3.29,1,167.6,139,71.9,5.65,12.2
112,1,0,0.0,3,214.8,112,55.0,10.49,9.4
116,1,1,2.43,2,221.0,108,75.3,7.55,9.0
120,1,0,0.0,3,180.0,80,50.0,11.21,4.7
143,1,0,0.0,0,223.3,99,53.0,8.36,4.5
117,1,0,0.22,1,201.9,86,55.2,10.62,7.8
132,1,1,2.84,3,226.2,103,82.4,9.08,10.5
108,1,0,0.0,3,201.1,101,49.0,8.54,11.6
87,1,1,2.11,0,262.8,114,85.1,10.79,7.8
145,1,0,0.32,0,39.5,78,33.2,13.22,10.0
91,0,0,0.31,3,129.9,112,40.1,8.67,11.2
65,1,1,3.24,1,282.3,70,93.4,7.6,12.0
189,1,0,0.0,1,219.9,80,50.0,7.17,11.7
148,1,0,0.0,1,239.3,84,58.0,9.79,10.9
129,1,1,3.08,1,211.0,99,80.8,7.76,11.4
124,1,0,0.0,3,251.5,85,61.0,10.71,11.1
50,1,0,0.0,5,131.1,129,36.0,8.03,5.6
73,1,0,0.0,0,160.1,110,46.0,10.67,13.0
109,1,0,0.0,1,175.6,80,51.0,11.9,10.2
140,0,1,3.11,4,188.9,124,77.1,8.05,11.5
102,0,0,0.0,0,233.8,103,59.0,11.08,12.8
146,1,1,3.94,1,176.6,88,83.4,8.14,14.6
21,1,0,0.0,1,223.2,142,57.0,10.83,12.4
93,1,1,2.97,0,116.9,120,69.7,11.62,11.0
92,1,1,2.16,3,155.4,110,64.6,9.43,8.0
119,1,0,0.21,3,239.1,88,64.1,12.18,10.9
135,1,0,0.0,1,246.8,129,58.0,9.39,12.6
90,1,1,2.08,1,183.8,76,71.8,11.49,7.7
82,1,0,0.0,1,125.7,96,40.0,10.38,12.9
45,1,0,0.0,1,142.4,107,52.0,15.94,11.1
103,1,1,2.08,2,121.0,105,64.8,13.52,7.7
105,1,0,0.33,1,193.7,108,52.3,9.16,10.8
28,1,0,0.0,2,159.7,79,46.0,10.84,9.3
164,1,0,0.0,3,192.1,95,54.0,12.49,7.3
34,1,0,0.0,1,180.6,65,55.0,14.02,5.0
75,1,0,0.0,2,314.6,102,68.0,8.49,5.7
87,1,0,0.36,2,115.4,90,45.6,13.13,13.1
63,1,0,0.36,2,153.5,81,54.6,14.37,6.5
65,1,0,0.0,2,105.7,95,31.0,7.09,6.6
96,1,1,3.05,1,261.3,96,94.5,11.05,11.3
158,1,0,0.33,1,175.9,105,49.3,9.42,11.0
67,1,1,3.92,1,129.6,107,81.2,11.65,14.5
121,1,1,1.73,2,110.0,94,48.3,7.08,6.4
166,1,0,0.23,0,152.1,95,39.3,6.05,9.8
101,1,0,0.0,3,209.6,107,56.0,11.44,7.6
162,1,0,0.0,4,70.7,108,26.0,7.88,9.1
116,0,1,1.86,1,175.5,137,66.6,10.53,6.9
139,1,1,4.0,0,214.6,101,97.0,11.76,14.8
75,1,0,0.0,0,150.6,99,52.0,15.08,8.1
128,1,1,2.32,0,179.3,104,73.2,11.3,8.6
135,0,1,3.94,0,173.1,85,86.4,10.2,14.6
89,1,1,3.19,1,174.4,108,78.9,9.84,11.8
89,1,0,0.0,1,213.0,63,52.0,8.83,9.1
135,1,1,3.32,1,273.4,141,93.2,7.7,12.3
90,1,0,0.0,1,200.9,92,49.0,8.22,8.9
116,1,1,2.97,1,182.8,122,79.7,10.64,11.0
162,1,0,0.28,2,115.1,89,39.8,9.84,11.4
16,1,0,0.0,1,153.2,65,46.0,11.49,10.7
128,1,0,0.0,0,179.4,94,54.0,13.52,7.9
54,1,1,3.38,2,143.9,73,76.8,10.52,12.5
99,1,1,2.46,1,200.7,88,81.6,13.21,9.1
137,1,0,0.0,0,243.4,114,52.0,6.06,12.2
105,1,0,0.0,0,246.4,83,64.0,12.81,3.8
89,1,0,0.0,0,105.9,151,35.0,9.48,12.7
57,1,0,0.2,2,149.3,100,45.0,10.01,11.9
87,1,0,0.0,0,240.0,83,53.0,6.71,9.3
103,1,0,0.0,2,190.9,62,52.0,11.33,7.8
116,1,0,0.0,1,197.9,84,48.0,8.41,12.0
38,1,0,0.0,2,137.8,86,48.0,14.32,14.1
166,0,1,3.08,1,175.8,126,82.8,12.68,11.4
149,1,1,3.05,2,264.4,102,94.5,10.98,11.3
116,1,0,0.0,0,164.6,110,51.0,13.53,8.0
94,1,0,0.0,1,194.1,62,53.0,11.36,15.3
117,0,0,0.0,2,167.1,86,44.0,8.88,14.1
129,1,1,1.78,1,196.6,89,66.8,9.03,6.6
75,0,0,0.0,1,222.4,78,66.0,16.35,8.7
113,1,0,0.0,1,272.1,111,70.0,13.43,8.5
80,1,0,0.0,1,118.1,90,33.0,7.22,8.2
163,1,0,0.35,0,247.7,77,69.5,13.48,9.6
112,1,0,0.27,2,217.1,76,57.7,10.26,9.4
104,1,0,0.0,1,164.2,109,42.0,7.77,10.7
38,1,1,1.05,0,197.2,118,65.5,12.5,3.9
63,0,1,2.7,1,151.5,99,66.0,7.39,10.0
119,1,1,3.05,0,217.2,94,79.5,6.94,11.3
78,1,0,0.21,2,162.3,116,46.1,9.62,10.1
115,0,0,0.0,1,180.0,119,48.0,9.94,12.4
74,1,0,0.0,3,124.8,114,33.0,6.65,10.6
73,1,0,0.0,0,175.4,130,51.0,12.41,12.2
143,1,1,2.08,1,141.4,130,60.8,9.32,7.7
72,1,0,0.0,1,175.5,103,42.0,6.62,11.8
132,1,0,0.0,1,117.6,66,39.0,10.7,8.8
94,1,1,3.46,1,170.1,124,80.6,9.67,12.8
97,1,0,0.27,3,144.2,91,46.7,11.34,13.8
79,1,1,1.7,4,264.3,79,80.0,10.14,6.3
63,1,1,3.32,1,152.2,119,79.2,11.36,12.3
33,1,0,0.21,1,159.5,115,46.1,9.77,7.1
69,1,1,1.59,1,155.0,98,54.9,7.12,5.9
66,1,0,0.0,1,146.4,107,42.0,9.83,7.8
117,1,1,2.35,2,205.7,98,70.5,6.81,8.7
72,1,0,0.0,0,198.4,147,53.0,10.85,13.1
94,1,0,0.0,2,252.6,104,58.0,8.45,11.1
35,1,0,0.32,2,124.2,102,35.2,6.2,13.1
163,1,0,0.0,1,122.4,129,31.0,5.67,12.5
101,1,0,0.37,4,253.2,89,67.7,11.9,9.7
108,1,0,0.0,4,112.0,105,36.0,9.69,4.1
39,1,0,0.0,2,160.4,68,36.0,5.13,9.1
161,1,0,0.0,0,105.4,70,37.0,10.74,7.8
124,1,0,0.0,3,158.6,104,45.0,10.56,10.2
101,1,1,2.57,0,209.2,82,75.7,7.99,9.5
155,1,0,0.0,3,181.4,111,46.0,8.39,11.3
69,1,0,0.0,3,183.4,85,52.0,11.88,9.0
123,1,0,0.0,3,166.9,98,48.0,11.09,12.8
66,1,0,0.0,4,154.0,133,44.0,9.95,9.5
109,1,1,3.32,1,166.9,85,81.2,11.06,12.3
44,1,0,0.32,1,143.2,77,42.2,8.49,7.6
39,1,0,0.0,0,93.3,83,33.0,9.98,6.5
95,1,0,0.0,3,194.6,114,53.0,11.64,3.8
100,1,0,0.0,0,78.7,98,33.0,11.28,14.0
122,0,1,3.43,1,216.4,80,93.3,12.49,12.7
147,1,0,0.26,2,124.4,74,51.6,16.05,10.4
46,1,0,0.0,2,40.4,105,22.0,8.62,9.0
56,1,0,0.16,4,162.3,99,42.6,7.46,14.8
110,1,0,0.0,2,159.5,145,45.0,10.12,16.7
114,1,1,2.54,3,141.3,96,69.4,11.52,9.4
93,1,1,2.16,2,178.7,134,67.6,8.93,8.0
53,1,0,0.0,1,164.1,106,46.0,10.3,11.4
92,1,0,0.33,2,197.2,113,58.3,12.12,11.0
122,1,0,0.0,0,232.5,96,57.0,10.28,11.9
158,1,0,0.0,1,158.0,106,52.0,14.63,9.1
96,1,0,0.21,2,160.2,117,52.1,13.38,9.3
82,1,1,2.89,1,155.2,131,76.9,12.23,10.7
88,1,0,0.0,3,183.5,93,46.0,8.53,8.3
120,1,1,2.86,0,244.3,140,97.6,16.12,10.6
116,1,1,3.13,2,268.6,83,92.3,8.91,11.6
65,1,0,0.0,1,207.7,109,54.0,10.88,8.0
94,1,0,0.0,1,181.5,98,48.0,10.0,6.6
142,1,1,1.16,0,163.3,104,51.6,6.8,4.3
117,1,0,0.39,1,119.0,82,40.9,9.38,11.5
102,1,0,0.0,2,156.5,67,44.0,10.22,9.9
78,1,0,0.0,0,220.0,95,53.0,9.0,11.5
46,1,0,0.0,1,164.2,116,45.0,9.81,8.1
95,1,0,0.0,1,134.4,104,36.0,7.62,9.4
68,1,0,0.2,2,172.7,95,44.0,6.96,11.7
95,1,0,0.0,1,149.2,96,48.0,13.04,8.1
54,1,0,0.21,2,247.5,85,64.1,11.27,10.2
125,1,1,2.54,1,96.5,109,54.4,7.29,9.4
157,0,0,0.0,0,180.4,123,48.0,9.7,8.4
108,1,0,0.27,2,291.6,99,71.7,11.06,14.0
111,1,0,0.0,2,246.5,108,61.0,10.82,12.7
70,1,0,0.0,2,208.7,97,59.0,13.78,8.0
84,1,0,0.0,0,138.6,102,41.0,9.95,7.8
118,1,0,0.0,2,224.6,94,58.0,11.3,12.5
74,1,0,0.0,1,106.4,84,31.0,7.01,11.4
143,1,0,0.27,1,202.8,109,51.7,8.29,4.6
134,1,0,0.0,1,205.3,122,56.0,12.03,5.0
152,1,0,0.0,1,228.1,93,51.0,6.82,9.0
107,1,0,0.0,1,294.9,71,67.0,9.64,13.2
108,1,0,0.21,3,210.7,112,59.1,11.94,9.2
73,1,0,0.0,1,286.4,109,64.0,8.91,10.7
54,0,0,0.0,3,236.3,91,54.0,7.64,11.2
51,1,0,0.0,0,169.3,111,41.0,6.98,12.0
112,1,1,3.05,1,221.6,110,79.5,6.51,11.3
73,1,0,0.0,1,217.8,91,56.0,11.03,10.3
85,1,1,2.94,1,144.6,97,66.4,7.0,10.9
80,1,0,0.0,3,198.1,160,47.0,7.84,9.3
177,1,0,0.0,1,175.7,120,45.0,8.43,14.6
113,1,1,2.75,2,205.0,101,75.5,7.6,10.2
130,1,0,0.35,1,176.9,109,41.5,4.54,9.5
132,1,0,0.0,5,193.3,106,44.0,6.42,11.6
110,1,0,0.0,2,271.1,108,67.0,11.85,9.8
120,1,1,2.62,2,212.7,73,85.2,12.88,9.7
101,1,1,2.7,2,238.0,88,86.0,10.48,10.0
96,1,1,2.65,1,172.7,86,67.5,6.67,9.8
90,1,0,0.0,1,203.4,146,54.0,11.34,7.3
137,0,0,0.21,0,258.0,112,67.1,12.33,10.9
42,1,0,0.0,1,92.2,108,34.0,10.56,13.1
185,1,0,0.0,2,55.6,97,34.0,14.44,12.1
107,1,1,3.24,1,248.6,91,85.4,5.97,12.0
88,1,0,0.0,2,161.5,92,43.0,8.68,7.9
86,1,0,0.0,2,126.3,115,36.0,8.44,9.8
61,1,1,1.73,4,187.5,124,62.3,7.33,6.4
96,0,0,0.0,2,200.6,117,59.0,14.48,11.2
59,1,1,2.46,0,127.4,110,55.6,5.17,9.1
88,1,0,0.0,4,166.7,61,44.0,8.97,6.8
73,1,0,0.0,1,122.0,92,33.0,6.92,5.8
161,1,0,0.0,2,72.8,120,36.0,13.36,11.8
109,1,1,2.43,4,217.5,123,81.3,11.69,9.0
102,1,0,0.0,0,114.8,125,27.0,4.1,12.0
9,1,1,2.73,1,214.1,108,78.3,8.46,10.1
116,1,0,0.24,3,192.1,98,62.4,15.65,7.9
111,1,0,0.0,4,132.6,125,42.0,11.06,12.7
135,1,0,0.0,5,263.8,66,67.0,12.57,8.4
93,1,0,0.17,3,152.4,74,51.7,13.73,6.6
161,1,0,0.0,1,178.1,109,43.0,7.33,8.5
94,1,0,0.28,3,269.2,104,65.8,9.69,8.9
87,0,0,0.0,0,134.2,80,37.0,8.25,10.7
84,1,1,1.54,2,106.5,65,53.4,11.29,5.7
67,1,0,0.0,2,138.9,65,42.0,10.45,9.2
109,1,0,0.0,1,222.2,113,57.0,10.93,10.9
110,1,0,0.0,0,148.4,95,42.0,9.69,6.9
117,0,0,0.0,1,287.4,118,71.0,12.98,10.0
85,1,0,0.4,1,201.4,52,58.0,11.47,12.0
21,1,1,3.48,3,132.7,94,74.8,10.23,12.9
138,1,1,3.83,0,190.1,87,90.3,11.16,14.2
72,1,0,0.0,0,253.0,73,62.0,10.97,9.8
71,1,0,0.0,1,277.5,104,59.0,6.59,8.2
120,1,0,0.3,1,150.6,85,39.0,5.95,6.4
118,1,1,2.57,1,289.5,52,89.7,8.33,9.5
70,1,0,0.0,1,213.4,86,54.0,10.24,5.7
132,1,1,3.11,0,182.9,54,87.1,14.62,11.5
86,1,1,2.65,0,225.5,107,86.5,12.32,9.8
182,1,1,3.13,1,128.1,104,65.3,7.17,11.6
167,0,0,0.0,2,219.1,100,58.0,12.15,10.1
33,1,1,3.75,4,157.4,99,74.5,5.9,13.9
109,1,0,0.31,3,180.0,100,54.1,11.45,7.8
58,0,1,2.4,1,142.8,96,72.0,13.62,8.9
97,1,0,0.0,3,169.7,84,43.0,8.3,12.8
98,1,1,3.24,1,121.0,105,72.4,10.95,12.0
131,1,0,0.0,2,187.9,110,49.0,10.03,10.2
34,1,0,0.29,2,293.7,89,76.9,13.63,11.0
117,1,0,0.0,1,102.8,119,36.0,10.34,10.1
104,1,1,3.59,4,280.2,136,102.9,11.03,13.3
103,1,0,0.0,0,160.2,104,40.0,6.95,9.7
101,1,0,0.3,1,0.0,0,20.0,9.61,7.2
136,1,1,3.08,2,143.1,88,75.8,11.83,11.4
16,1,0,0.0,5,174.7,83,54.0,14.04,10.5
101,0,0,0.0,1,156.4,116,38.0,6.52,7.3
40,1,1,2.03,1,224.7,69,70.3,6.73,7.5
90,1,0,0.0,2,102.0,118,27.0,5.67,11.4
52,1,1,3.65,1,133.3,63,75.5,9.21,13.5
31,1,1,3.11,1,210.5,101,89.1,12.53,11.5
93,1,1,2.89,1,237.2,85,87.9,10.66,10.7
90,1,0,0.0,1,175.9,111,55.0,14.26,13.0
129,1,0,0.0,0,334.3,118,74.0,9.61,10.4
72,1,1,4.46,1,186.7,108,105.6,16.75,16.5
98,1,1,2.97,2,110.3,71,64.7,9.12,11.0
132,1,0,0.0,0,81.1,86,35.0,12.26,10.3
59,1,0,0.27,2,166.3,95,51.7,11.97,10.0
100,1,0,0.0,1,185.0,122,47.0,9.13,5.1
52,1,0,0.0,3,129.3,80,35.0,7.14,12.3
103,1,1,3.32,0,164.1,111,80.2,10.96,12.3
117,1,0,0.0,1,134.7,121,39.0,9.0,7.7
95,1,0,0.0,0,197.0,88,50.0,9.52,16.1
97,1,0,0.29,0,217.6,81,67.9,16.03,4.2
155,1,0,0.34,1,184.6,102,52.4,9.8,7.8
73,1,0,0.41,1,157.6,92,48.1,9.92,9.1
80,0,0,0.0,1,276.5,122,64.0,9.78,7.2
74,1,0,0.0,2,157.1,95,45.0,10.66,7.6
162,1,0,0.0,1,184.5,118,51.0,11.2,11.6
131,1,0,0.0,1,110.9,74,29.0,5.78,15.8
166,1,0,0.0,0,136.1,116,39.0,9.07,11.3
31,1,1,1.59,0,100.1,54,53.9,12.32,5.9
64,1,0,0.0,1,219.6,126,64.0,15.17,9.7
37,1,0,0.0,0,206.0,89,51.0,9.3,8.4
49,1,0,0.21,1,119.3,117,41.1,10.76,11.1
59,1,0,0.0,0,179.4,80,51.0,11.63,14.7
121,1,0,0.0,0,103.3,110,29.0,6.46,10.7
142,1,0,0.0,2,84.8,95,27.0,6.84,14.2
127,1,0,0.0,0,107.9,128,35.0,9.35,0.0
155,1,0,0.0,2,163.0,93,46.0,10.2,15.1
177,1,0,0.0,1,189.5,99,48.0,8.82,14.2
63,1,1,3.29,1,184.2,111,90.9,15.63,12.2
88,1,0,0.0,2,152.9,119,41.0,8.56,12.0
138,1,1,2.13,0,19.5,149,37.3,7.05,7.9
133,1,0,0.0,4,221.1,133,52.0,8.01,8.4
74,1,1,2.43,1,174.6,107,81.3,15.53,9.0
57,1,1,3.0,2,193.4,105,83.0,11.58,11.1
84,1,0,0.0,1,159.0,80,42.0,8.4,12.3
86,1,1,3.21,3,253.1,112,93.1,10.51,11.9
116,1,1,1.89,2,204.7,118,71.9,10.47,7.0
126,1,0,0.0,0,103.7,93,29.0,6.35,14.4
86,1,1,3.48,1,225.4,79,89.8,9.36,12.9
36,1,1,3.92,0,146.3,128,78.2,8.13,14.5
128,1,0,0.0,0,103.3,122,39.0,12.3,6.4
97,1,1,1.65,1,283.1,93,80.5,9.27,6.1
174,1,1,3.35,1,221.8,143,89.5,10.53,12.4
123,1,0,0.0,5,242.2,87,61.0,11.31,8.2
114,1,1,3.83,1,309.9,90,108.3,10.02,14.2
60,0,1,3.78,0,265.9,113,101.8,10.79,14.0
83,1,0,0.0,3,178.8,102,45.0,8.4,8.6
151,1,1,2.32,1,214.7,97,72.2,6.93,8.6
128,1,0,0.0,1,158.8,75,50.0,13.24,7.6
76,1,0,0.0,4,107.3,140,39.0,11.91,10.0
63,1,0,0.37,0,211.2,80,60.7,11.89,12.3
172,1,0,0.0,3,215.7,140,50.0,7.32,7.1
139,1,0,0.0,2,271.6,130,60.0,7.8,11.6
83,1,0,0.0,2,159.3,104,45.0,10.12,9.5
34,1,0,0.0,1,128.8,80,40.0,10.44,14.0
179,0,1,2.73,4,220.1,78,85.3,11.72,10.1
154,1,0,0.0,1,350.8,75,79.0,10.83,10.1
54,1,0,0.0,1,272.6,83,68.0,12.44,9.5
80,1,0,0.0,1,160.6,103,48.0,11.85,10.7
117,1,0,0.0,2,149.9,95,48.0,12.81,13.3
67,1,0,0.0,1,210.7,116,55.0,10.96,7.2
93,1,1,3.19,4,134.2,105,68.9,8.13,11.8
22,1,0,0.0,2,181.8,108,48.0,9.93,9.3
110,1,0,0.0,3,188.0,127,40.0,4.53,15.3
52,1,1,1.43,2,195.7,119,57.3,5.31,5.3
158,1,0,0.0,2,172.4,114,52.0,12.83,0.0
101,1,0,0.0,4,153.8,89,47.0,11.7,11.6
94,1,0,0.0,1,177.1,112,47.0,9.7,5.9
37,1,0,0.0,0,191.1,69,44.0,6.46,12.9
126,1,0,0.0,3,249.8,96,65.0,13.1,12.7
122,1,1,3.78,1,147.8,85,75.8,7.37,14.0
104,1,0,0.0,1,225.9,123,53.0,8.14,10.1
161,1,0,0.0,1,173.4,100,48.0,10.69,11.5
104,1,0,0.0,3,264.0,108,57.0,6.61,10.6
145,1,0,0.0,1,224.2,89,65.0,15.75,16.1
149,0,0,0.18,0,176.2,87,44.8,7.25,5.7
136,0,0,0.0,1,199.2,122,53.0,10.74,11.8
61,1,0,0.0,2,197.7,118,47.0,7.61,7.0
95,1,0,0.0,0,190.2,119,46.0,7.86,14.0
54,1,0,0.0,1,286.6,73,68.0,11.16,11.5
144,1,0,0.0,1,278.5,95,68.0,12.04,11.6
106,1,0,0.0,4,207.9,91,50.0,8.6,14.4
118,1,0,0.32,1,187.4,97,50.2,8.89,12.2
45,1,0,0.0,1,78.2,127,35.0,12.67,18.0
134,1,1,1.65,2,247.2,105,78.5,11.28,6.1
18,1,0,0.27,3,197.0,97,53.7,10.19,8.7
91,1,1,2.59,1,273.0,78,90.9,10.78,9.6
77,1,0,0.0,2,163.0,112,47.0,10.96,6.7
131,1,0,0.0,2,263.4,123,58.0,7.6,10.7
124,1,0,0.0,1,184.8,74,47.0,8.76,10.5
52,1,0,0.35,2,214.7,68,53.5,7.93,9.4
52,1,0,0.34,2,124.9,131,50.4,15.03,11.6
78,1,0,0.0,2,155.0,106,42.0,8.77,11.8
